OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,REV_AT_EPOCH,BSTAR,orbital_period_min,altitude_estimated,drag_index,energy_index,orbit_type,orbit_family,anomaly_score,anomaly_flag
STARLETTE,1975-010A,7646,2025-10-13 22:25:14.710656,13.82345379,0.020571,49.8265,356.603,329.5301,29.3769,-1.28e-06,0.0,56047,1.1052305e-05,104.17078263333204,962.7167343327437,2.2735696615499999e-07,0.002616597211236717,LEO,LEO,-0.04164344194013925,1
LAGEOS 1,1976-039A,8820,2025-10-13 23:32:18.674016,6.38664834,0.00446639,109.8418,95.0184,354.9822,159.914,3.4e-07,0.0,89741,0.0,225.47037559296714,5900.185053287212,0.0,0.012258123618353024,MEO,MEO,0.0018937829298030229,-1
OPS 8701 (DSP 10),1982-019A,13086,2025-10-13 13:47:22.429824,0.98187202,0.00059064,9.7947,310.9571,289.1393,68.4672,-2.3e-07,0.0,2323,0.0,1466.5862461382696,36388.43110280875,0.0,0.5186331060382767,GEO,GEO,0.0290302395719112,-1
PHASE 3B (AO-10),1983-058B,14129,2025-10-13 04:10:05.448288,2.05869743,0.60682439,26.2311,261.4732,46.8036,350.1083,1.4e-07,0.0,29040,0.0,699.4714128535148,19730.982434919646,0.0,0.11797363459666575,MEO,MEO,0.07414827587294748,-1
UOSAT 2 (UO-11),1984-021B,14781,2025-10-13 21:21:54.997632,14.89833755,0.00060603,97.7713,250.8924,282.6889,77.3651,2.111e-05,0.0,22044,0.00022552898,96.65507947898521,605.5916115954269,1.366773277494e-07,0.002252653450301155,LEO,LEO,-0.22174168358208302,1
AJISAI (EGS),1986-061A,16908,2025-10-13 23:34:21.209952,12.44513706,0.00111457,50.0082,184.4703,274.2475,99.428,-9.6e-07,0.0,44973,1.1045582e-05,115.70784580816822,1494.663905836138,1.231107432974e-08,0.0032282758443207063,LEO,LEO,-0.11977361272989806,1
TDRS 3,1988-091B,19548,2025-10-13 11:32:21.603840,1.00276483,0.0038792,12.7907,342.628,340.7884,183.0648,-3.08e-06,0.0,12291,0.0,1436.0296222195984,35792.414992667735,0.0,0.49724659430270135,GEO,GEO,0.044563014054312844,-1
COSMOS 1989 (ETALON 1),1989-001C,19751,2025-10-13 16:48:05.106240,2.1315598,0.00234204,64.8029,80.634,216.8583,323.9671,4.1e-07,0.0,28611,0.0,675.5616239337973,19132.717780724528,0.0,0.11004617759743185,MEO,MEO,0.0029883800261187865,-1
COSMOS 2024 (ETALON 2),1989-039C,20026,2025-10-13 07:55:23.443680,2.1320446,0.00204151,65.0845,319.0346,214.4707,157.4042,-3.2e-07,0.0,28324,0.0,675.4080097573944,19128.85148543074,0.0,0.10999613706704392,MEO,MEO,-0.00530607077914802,1
FLTSATCOM 8 (USA 46),1989-077A,20253,2025-10-13 14:00:36.160704,1.00278589,0.00054456,12.4913,352.6315,238.8239,126.7446,-3.76e-06,0.0,25809,0.0,1435.999463454756,35791.82466084867,0.0,0.49722570868112154,GEO,GEO,0.03282933966885804,-1
LUSAT (LO-19),1990-005G,20442,2025-10-13 23:02:11.455584,14.34008125,0.00111436,98.9001,296.8191,203.2788,156.7893,2.04e-06,0.0,86710,8.9759889e-05,100.41784107743462,785.5014999616533,1.0002482990604e-07,0.002431458045585676,LEO,LEO,-0.12833406534247666,1
HST,1990-037B,20580,2025-10-13 10:06:42.429024,15.26891898,0.00017663,28.4698,322.6928,283.7513,76.2885,0.00010733,0.0,75076,0.00038648341,94.30923052811954,492.24729471690625,6.82645647083e-08,0.0021446351665716616,LEO,LEO,-0.1574705902377188,1
SKYNET 4C,1990-079A,20776,2025-10-13 20:25:14.285856,1.00272831,0.00040017,13.4205,351.4854,231.4105,139.3878,1.16e-06,0.0,12842,0.0,1436.0819233277657,35793.43873196882,0.0,0.49728281503394456,GEO,GEO,0.016187931000484768,-1
USA 65 (DSP 15),1990-095A,20929,2025-10-13 10:47:26.544192,0.98399298,0.00025687,14.1587,345.7486,122.9726,244.692,-2.36e-06,0.0,2304,0.0,1463.4250744349822,36326.96477376152,0.0,0.5163997271617075,GEO,GEO,0.025201078869956706,-1
TDRS 5,1991-054B,21639,2025-10-13 09:54:38.570688,1.00276462,0.0013248,14.1024,355.5903,246.4229,121.3196,7.6e-07,0.0,12524,0.0,1436.0299229544019,35792.420879271405,0.0,0.4972468025705115,GEO,GEO,0.021948663892003895,-1
USA 75 (DSP 16),1991-080B,21805,2025-10-13 04:20:25.027008,0.99183549,0.0002541,14.1386,347.2628,153.6801,198.6138,6e-08,0.0,2325,0.0,1451.853673838592,36101.589988328284,0.0,0.508265598533617,GEO,GEO,0.019554290889628234,-1
LAGEOS 2,1992-070B,22195,2025-10-01 10:30:28.379808,6.4729381,0.0137774,52.6563,70.1545,74.3816,309.6933,-9e-08,0.0,77867,0.0,222.46466407580817,5790.884426799561,0.0,0.011933479639844273,MEO,MEO,-0.008983529684377323,1
TDRS 6,1993-003B,22314,2025-10-13 15:02:35.710080,1.00277548,0.0010536,14.178,358.8729,194.3274,9.0131,-3.04e-06,0.0,11993,0.0,1436.0143708340377,35792.11646046156,0.0,0.4972360323210544,GEO,GEO,0.034236468917760665,-1
SCD 1,1993-009B,22490,2025-10-13 08:43:54.911136,14.45942878,0.0042227,24.9698,291.3824,46.2113,337.2043,6.27e-06,0.0,72535,0.00012113798,99.58899635038003,746.0674813944615,5.11529348146e-07,0.00239148538630305,LEO,LEO,-0.0860580819831025,1
UFO 2 (USA 95),1993-056A,22787,2025-10-13 20:09:38.776896,1.00270196,0.0004943,11.8095,4.8701,231.441,117.4404,1.15e-06,0.0,11607,0.0,1436.1196621177444,35794.17742145571,0.0,0.49730895156278554,GEO,GEO,0.01030787957125956,-1
STELLA,1993-061B,22824,2025-10-13 23:02:41.456256,14.27460727,0.0005546,98.81,344.8762,226.8018,235.6829,-3.1e-07,0.0,66964,5.819636e-06,100.87843208312658,807.368168877013,3.2275701256000003e-09,0.002453814154019575,LEO,LEO,-0.12904802690487127,1
