COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-12 14:00:01,224,15.7319315,0.0001371,53.2133,13.4091,107.7291,168.8455,0,999,130,0.0007258,0.00102462,0,3442533,0 STARLINK-3874,1 52365U 22045AL  22132.58334491  .00102462  00000-0  72580-3 0  9991,2 52365  53.2133  13.4091 0001371 107.7291 168.8455 15.73193150  1303,2022-045AL,52365,6727.915,91.534,350.702,348.857,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-12 20:00:01,224,15.73248197,0.0001245,53.2134,12.1733,104.2515,149.0441,0,999,458,-0.00023681,-0.0003379,0,3442327,0 STARLINK-3874,1 52365U 22045AL  22132.83334491 -.00033790  00000-0 -23681-3 0  9996,2 52365  53.2134  12.1733 0001245 104.2515 149.0441 15.73248197  4585,2022-045AL,52365,6727.758,91.53,350.46,348.785,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-12 22:00:00,999936,15.73229838,0.0001178,53.2132,11.7613,101.3757,264.1698,0,999,130,-4.3154e-05,-6.679e-05,0,3442534,0 STARLINK-3874,1 52365U 22045AL  22132.91667824 -.00006679  00000-0 -43154-4 0  9998,2 52365  53.2132  11.7613 0001178 101.3757 264.1698 15.73229838  1307,2022-045AL,52365,6727.81,91.531,350.468,348.883,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-13 14:00:01,224,15.73145956,0.0001173,53.2127,8.4603,115.6515,67.7716,0,999,470,0.00045421,0.0006346,0,3443563,0 STARLINK-3874,1 52365U 22045AL  22133.58334491  .00063460  00000-0  45421-3 0  9990,2 52365  53.2127   8.4603 0001173 115.6515  67.7716 15.73145956  4701,2022-045AL,52365,6728.049,91.536,350.703,349.125,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-13 14:00:01,224,15.73145956,0.0001173,53.2127,8.4603,115.6515,67.7716,0,999,130,0.00045421,0.0006346,0,3443851,0 STARLINK-3874,1 52365U 22045AL  22133.58334491  .00063460  00000-0  45421-3 0  9990,2 52365  53.2127   8.4603 0001173 115.6515  67.7716 15.73145956  1304,2022-045AL,52365,6728.049,91.536,350.703,349.125,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-13 22:00:00,999936,15.73159688,0.0001245,53.2128,6.8129,102.8787,169.4373,0,999,475,-6.6368e-05,-9.907e-05,0,3444283,0 STARLINK-3874,1 52365U 22045AL  22133.91667824 -.00009907  00000-0 -66368-4 0  9998,2 52365  53.2128   6.8129 0001245 102.8787 169.4373 15.73159688  4757,2022-045AL,52365,6728.01,91.536,350.713,349.037,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-14 06:00:00,999648,15.73184243,0.0001172,53.2128,5.1631,101.8465,259.3463,0,999,480,0.00023217,0.00032066,0,3444807,0 STARLINK-3874,1 52365U 22045AL  22134.25001157  .00032066  00000-0  23217-3 0  9992,2 52365  53.2128   5.1631 0001172 101.8465 259.3463 15.73184243  4808,2022-045AL,52365,6727.94,91.534,350.594,349.017,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-14 14:00:01,224,15.73235237,0.0001335,53.2131,3.5117,109.5732,340.5548,0,999,130,8.9397e-05,0.00011963,0,3445495,0 STARLINK-3874,1 52365U 22045AL  22134.58334491  .00011963  00000-0  89397-4 0  9993,2 52365  53.2131   3.5117 0001335 109.5732 340.5548 15.73235237  1305,2022-045AL,52365,6727.795,91.531,350.558,348.762,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-14 22:00:00,999936,15.73217205,0.0001328,53.2127,1.864,99.3925,79.7249,0,999,491,0.00041688,0.00058337,0,3445885,0 STARLINK-3874,1 52365U 22045AL  22134.91667824  .00058337  00000-0  41688-3 0  9995,2 52365  53.2127   1.8640 0001328  99.3925  79.7249 15.73217205  4918,2022-045AL,52365,6727.846,91.532,350.605,348.818,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-14 22:00:00,999936,15.73217205,0.0001328,53.2127,1.864,99.3925,79.7249,0,999,130,0.00041688,0.00058337,0,3445938,0 STARLINK-3874,1 52365U 22045AL  22134.91667824  .00058337  00000-0  41688-3 0  9995,2 52365  53.2127   1.8640 0001328  99.3925  79.7249 15.73217205  1308,2022-045AL,52365,6727.846,91.532,350.605,348.818,0
